time_s,front_y_px_raw,front_y_px_fit
0.0,,175.30112937238107
0.04,,175.30461192611023
0.08,,175.30809447983938
0.12,,175.3115770335685
0.16,,175.31505958729764
0.2,,175.3185421410268
0.24,,175.32202469475592
0.28,,175.32550724848505
0.32,,175.3289898022142
0.36,,175.33247235594337
0.4,,175.3359549096725
0.44,,175.33943746340162
0.48,,175.34292001713078
0.52,,175.34640257085994
0.56,,175.34988512458906
0.6,,175.3533676783182
0.64,,175.35685023204735
0.68,,175.36033278577648
0.72,,175.3638153395056
0.76,,175.36729789323476
0.8,,175.37078044696392
0.84,,175.37426300069305
0.88,,175.37774555442218
0.92,,175.38122810815133
0.96,,175.3847106618805
1.0,,175.3881932156096
1.04,,175.39167576933875
1.08,,175.3951583230679
1.12,,175.39864087679703
1.16,,175.40212343052616
1.2,,175.40560598425532
1.24,,175.40908853798447
1.28,,175.4125710917136
1.32,,175.41605364544273
1.36,,175.4195361991719
1.4,,175.42301875290102
1.44,,175.42650130663014
1.48,,175.4299838603593
1.52,,175.43346641408846
1.56,,175.43694896781759
1.6,,175.4404315215467
1.64,,175.44391407527587
1.68,,175.44739662900503
1.72,,175.45087918273416
1.76,,175.45436173646328
1.8,,175.45784429019244
1.84,,175.46132684392157
1.88,,175.4648093976507
1.92,,175.46829195137985
1.96,,175.471774505109
2.0,,175.47525705883814
2.04,,175.47873961256727
2.08,,175.48222216629642
2.12,,175.48570472002558
2.16,,175.48918727375468
2.2,,175.49266982748384
2.24,,175.496152381213
2.28,,175.49963493494212
2.32,,175.50311748867125
2.36,,175.5066000424004
2.4,,175.51008259612956
2.44,,175.5135651498587
2.48,,175.51704770358782
2.52,,175.52053025731698
2.56,,175.5240128110461
2.6,,175.52749536477523
2.64,,175.5309779185044
2.68,,175.53446047223355
2.72,,175.53794302596268
2.76,,175.5414255796918
2.8,,175.54490813342096
2.84,,175.54839068715012
2.88,,175.55187324087925
2.92,,175.55535579460837
2.96,,175.55883834833753
3.0,,175.56232090206666
3.04,,175.5658034557958
3.08,,175.56928600952494
3.12,,175.5727685632541
3.16,,175.57625111698323
3.2,,175.57973367071236
3.24,,175.58321622444151
3.28,,175.58669877817067
3.32,,175.5901813318998
3.36,,175.59366388562893
3.4,,175.59714643935808
3.44,,175.6006289930872
3.48,,175.60411154681634
3.52,,175.6075941005455
3.56,,175.61107665427465
3.6,,175.61455920800378
3.64,,175.6180417617329
3.68,,175.62152431546207
3.72,,175.6250068691912
3.76,,175.62848942292032
3.8,,175.63197197664948
3.84,,175.63545453037864
3.88,,175.63893708410777
3.92,,175.6424196378369
3.96,,175.64590219156605
4.0,,175.6493847452952
4.04,,175.65286729902434
4.08,,175.65634985275346
4.12,,175.65983240648262
4.16,,175.66331496021175
4.2,,175.66679751394088
4.24,,175.67028006767003
4.28,,175.6737626213992
4.32,,175.67724517512832
4.36,,175.68072772885745
4.4,,175.6842102825866
4.44,,175.68769283631576
4.48,,175.6911753900449
4.52,,175.69465794377402
4.56,,175.69814049750318
4.6,,175.7016230512323
4.64,,175.70510560496143
4.68,,175.7085881586906
4.72,,175.71207071241975
4.76,,175.71555326614887
4.8,,175.719035819878
4.84,,175.72251837360716
4.88,,175.72600092733632
4.92,,175.72948348106542
4.96,,175.73296603479457
5.0,,175.73644858852373
5.04,,175.73993114225286
5.08,,175.74341369598199
5.12,,175.74689624971114
5.16,,175.7503788034403
5.2,,175.75386135716943
5.24,,175.75734391089856
5.28,,175.7608264646277
5.32,,175.76430901835684
5.36,,175.76779157208597
5.4,,175.77127412581513
5.44,,175.77475667954428
5.48,,175.7782392332734
5.52,,175.78172178700254
